Time Stamp|SSID|BSSID|RSSI|dist
2018-11-01 16:51:15.641|Noah's NAT|f4:f2:6d:22:9d:00|-83|0.0
2018-11-01 16:51:15.641|SolsticePod|9c:30:5b:63:c3:31|-88|0.0
2018-11-01 16:51:15.641|Global_Students|08:cc:68:b5:86:84|-60|0.0
2018-11-01 16:51:15.641|Global_Students|08:cc:68:b5:86:8b|-84|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b5:86:8e|-83|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:86:8d|-81|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:8d:f1|-57|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:8d:f4|-62|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:86:80|-62|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:8d:f0|-63|0.0
2018-11-01 16:51:15.641|LocalKeg|00:22:6b:73:a9:fa|-66|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b5:86:81|-61|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:8e:a4:80|-69|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:8e:a4:81|-67|0.0
2018-11-01 16:51:15.641|SOM_CONTROL|f4:ec:38:b3:f4:94|-79|0.0
2018-11-01 16:51:15.641|keg|64:f6:9d:89:56:72|-71|0.0
2018-11-01 16:51:15.641||04:62:73:ae:fd:32|-83|0.0
2018-11-01 16:51:15.641|noname|30:91:8f:b6:59:ab|-79|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:8e:a4:8e|-84|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:8e:a4:8f|-84|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b4:84:95|-81|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:ad:dc:80|-76|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:ad:dc:81|-75|0.0
2018-11-01 16:51:15.641|Nullius in verba|6c:70:9f:e6:1a:a0|-79|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b4:8c:f5|-81|0.0
2018-11-01 16:51:15.641|NETGEAR64-5G|a0:63:91:de:85:44|-82|0.0
2018-11-01 16:51:15.641|LocalKeg|00:22:6b:73:a9:fb|-85|0.0
2018-11-01 16:51:15.641|Global_Students|08:cc:68:b4:bb:2b|-90|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b4:84:9e|-91|0.0
2018-11-01 16:51:15.641||08:cc:68:b4:bb:2a|-91|0.0
2018-11-01 16:51:15.641|Jingling's Wi-Fi Network|90:72:40:12:39:bc|-89|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b4:7e:ea|-94|0.0
2018-11-01 16:51:15.641||08:cc:68:b4:7e:eb|-94|0.0
2018-11-01 16:51:15.641||08:cc:68:b4:7e:ef|-93|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b5:8d:f5|-58|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:86:82|-63|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:86:8f|-84|0.0
2018-11-01 16:51:15.641|NETGEAR64|a0:63:91:de:85:45|-85|0.0
2018-11-01 16:51:15.641|Noah's NAT|f4:f2:6d:22:9d:00|-72|0.0
2018-11-01 16:51:15.641|SolsticePod|9c:30:5b:63:c3:31|-72|0.0
2018-11-01 16:51:15.641|Global_Students|08:cc:68:b5:86:84|-65|0.0
2018-11-01 16:51:15.641|Global_Students|08:cc:68:b5:86:8b|-87|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b5:86:8e|-83|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:86:8d|-81|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:8d:f1|-59|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:8d:f4|-57|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:86:80|-67|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:8d:f0|-58|0.0
2018-11-01 16:51:15.641|LocalKeg|00:22:6b:73:a9:fa|-73|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b5:86:81|-66|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:8e:a4:80|-75|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:8e:a4:81|-76|0.0
2018-11-01 16:51:15.641|SOM_CONTROL|f4:ec:38:b3:f4:94|-81|0.0
2018-11-01 16:51:15.641|keg|64:f6:9d:89:56:72|-70|0.0
2018-11-01 16:51:15.641||04:62:73:ae:fd:32|-83|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:8e:a4:8e|-87|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:8e:a4:8f|-89|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:ad:dc:80|-70|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:ad:dc:81|-70|0.0
2018-11-01 16:51:15.641|Nullius in verba|6c:70:9f:e6:1a:a0|-82|0.0
2018-11-01 16:51:15.641|NETGEAR64-5G|a0:63:91:de:85:44|-86|0.0
2018-11-01 16:51:15.641|LocalKeg|00:22:6b:73:a9:fb|-87|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b4:84:9e|-89|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b4:7e:ea|-96|0.0
2018-11-01 16:51:15.641||08:cc:68:b4:7e:eb|-94|0.0
2018-11-01 16:51:15.641||08:cc:68:b4:7e:ef|-94|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b5:8d:f5|-58|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:86:82|-63|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:86:8f|-87|0.0
2018-11-01 16:51:15.641|NETGEAR64|a0:63:91:de:85:45|-78|0.0
2018-11-01 16:51:15.641|Cisco-IOT|e0:55:3d:10:35:1a|-80|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:86:8a|-87|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b4:84:9a|-90|0.0
2018-11-01 16:51:15.641|ClickShare-9716634497|bc:30:7e:07:ef:b2|-86|0.0
2018-11-01 16:51:15.641|Noah's NAT|f4:f2:6d:22:9d:00|-82|0.0
2018-11-01 16:51:15.641|SolsticePod|9c:30:5b:63:c3:31|-72|0.0
2018-11-01 16:51:15.641|Global_Students|08:cc:68:b5:86:84|-67|0.0
2018-11-01 16:51:15.641|Global_Students|08:cc:68:b5:86:8b|-86|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:8d:f1|-61|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:8d:f4|-57|0.0
2018-11-01 16:51:15.641|eduroam|08:cc:68:b5:86:80|-65|0.0
2018-11-01 16:51:15.641||08:cc:68:b5:8d:f0|-58|0.0
2018-11-01 16:51:15.641|LocalKeg|00:22:6b:73:a9:fa|-77|0.0
2018-11-01 16:51:15.641|uniwide|08:cc:68:b5:86:81|-67|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:8e:a4:80|-74|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:8e:a4:81|-71|0.0
2018-11-01 16:51:15.641|SOM_CONTROL|f4:ec:38:b3:f4:94|-78|0.0
2018-11-01 16:51:15.641|keg|64:f6:9d:89:56:72|-72|0.0
2018-11-01 16:51:15.641|csiro-guest|64:f6:9d:8e:a4:8e|-87|0.0
2018-11-01 16:51:15.641|csiro|64:f6:9d:8e:a4:8f|-92|0.0
