Time Stamp|SSID|BSSID|RSSI|dist
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7d:be|-62|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7d:ba|-62|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7e:ea|-64|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7e:ee|-65|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7d:b1|-46|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7d:b5|-45|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7e:e1|-68|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7e:e5|-63|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:e4:71|-77|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:e4:75|-79|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:84:9a|-84|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:84:9e|-84|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:5a:fe|-91|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:5a:fa|-92|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:84:95|-81|2.0
2018-11-15 16:20:37.615|eduroam|00:2a:10:ff:52:81|-79|2.0
2018-11-15 16:20:37.615|csiro-guest|64:f6:9d:8e:a4:81|-85|2.0
2018-11-15 16:20:37.615|Cisco-IOT|e0:55:3d:10:35:1a|-86|2.0
2018-11-15 16:20:37.615|SolsticePod|9c:30:5b:63:c3:31|-73|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7e:eb|-65|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7e:ef|-66|2.0
2018-11-15 16:20:37.615|Global_Students|08:cc:68:b5:86:84|-79|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:5a:f1|-74|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:5a:fd|-92|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7d:bb|-62|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7d:bf|-62|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:8c:f5|-77|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b5:86:81|-77|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b5:86:80|-78|2.0
2018-11-15 16:20:37.615||00:2a:10:ff:52:84|-78|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:9f|-84|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:9b|-85|2.0
2018-11-15 16:20:37.615|Global_Students|08:cc:68:b4:5a:f4|-76|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:8c:f4|-79|2.0
2018-11-15 16:20:37.615||00:2a:10:ff:52:80|-79|2.0
2018-11-15 16:20:37.615|csiro|64:f6:9d:8e:a4:80|-83|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:90|-82|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7d:b4|-51|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:5a:f0|-75|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:5a:f2|-77|2.0
2018-11-15 16:20:37.615|uniwide|00:2a:10:ff:52:85|-80|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:84:91|-80|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:94|-82|2.0
2018-11-15 16:20:37.615|Global_Students|08:cc:68:b4:5a:fb|-90|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:5a:ff|-91|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:e4:7e|-92|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7d:be|-61|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7d:ba|-61|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7e:ea|-65|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7e:ee|-67|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7d:b1|-48|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7d:b5|-44|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:7e:e1|-63|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:7e:e5|-63|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:e4:71|-77|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:e4:75|-79|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:84:9a|-84|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:84:9e|-84|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:5a:fe|-88|2.0
2018-11-15 16:20:37.615|eduroam|00:2a:10:ff:52:81|-79|2.0
2018-11-15 16:20:37.615|csiro-guest|64:f6:9d:8e:a4:81|-79|2.0
2018-11-15 16:20:37.615|Cisco-IOT|e0:55:3d:10:35:1a|-88|2.0
2018-11-15 16:20:37.615|SolsticePod|9c:30:5b:63:c3:31|-76|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7e:eb|-66|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7e:ef|-67|2.0
2018-11-15 16:20:37.615|Global_Students|08:cc:68:b5:86:84|-80|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:5a:f1|-77|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:5a:fd|-90|2.0
2018-11-15 16:20:37.615|uniwide|08:cc:68:b4:8c:f5|-84|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b5:86:80|-82|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:9f|-82|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:9b|-82|2.0
2018-11-15 16:20:37.615|Global_Students|08:cc:68:b4:5a:f4|-75|2.0
2018-11-15 16:20:37.615||00:2a:10:ff:52:80|-79|2.0
2018-11-15 16:20:37.615|csiro|64:f6:9d:8e:a4:80|-78|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:90|-82|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:7d:b4|-51|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:5a:f0|-75|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:5a:f2|-77|2.0
2018-11-15 16:20:37.615|uniwide|00:2a:10:ff:52:85|-79|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:84:91|-80|2.0
2018-11-15 16:20:37.615||08:cc:68:b4:84:94|-82|2.0
2018-11-15 16:20:37.615|Global_Students|08:cc:68:b4:5a:fb|-90|2.0
2018-11-15 16:20:37.615|eduroam|08:cc:68:b4:5a:ff|-91|2.0
