Time Stamp|SSID|BSSID|RSSI|dist
2018-11-06 15:14:04.977|uniwide|54:78:1a:bf:a7:d1|-79|0.0
2018-11-06 15:14:04.977|uniwide|08:cc:68:b4:63:c1|-84|0.0
2018-11-06 15:14:04.977||d0:72:dc:5c:08:fa|-66|0.0
2018-11-06 15:14:04.977|uniwide|d0:72:dc:5c:08:fe|-66|0.0
2018-11-06 15:14:04.977|eduroam|d0:72:dc:5c:08:ff|-64|0.0
2018-11-06 15:14:04.977||d0:72:dc:5c:08:fb|-67|0.0
2018-11-06 15:14:04.977|Global_Students|d0:72:dc:5c:08:fd|-66|0.0
2018-11-06 15:14:04.977|uniwide|d0:72:dc:68:8e:f1|-81|0.0
2018-11-06 15:14:04.977|Global_Students|d0:72:dc:68:8e:f2|-82|0.0
2018-11-06 15:14:04.977|eduroam|d0:72:dc:68:8e:ff|-90|0.0
2018-11-06 15:14:04.977|uniwide|d0:72:dc:68:8e:fe|-73|0.0
2018-11-06 15:14:04.977|eduroam|d0:72:dc:68:8e:f0|-84|0.0
2018-11-06 15:14:04.977|Global_Students|d0:72:dc:68:8e:fd|-91|0.0
2018-11-06 15:14:04.977||d0:72:dc:68:8e:fb|-75|0.0
2018-11-06 15:14:04.977|uniwide|08:cc:68:b4:63:ce|-91|0.0
2018-11-06 15:14:04.977|Global_Students|08:cc:68:b4:63:cd|-88|0.0
2018-11-06 15:14:04.977|eduroam|08:cc:68:b4:63:cf|-89|0.0
2018-11-06 15:14:04.977||08:cc:68:b4:63:cb|-77|0.0
2018-11-06 15:14:04.977||d0:72:dc:5c:08:f5|-76|0.0
2018-11-06 15:14:04.977|uniwide|d0:72:dc:5c:08:f1|-76|0.0
2018-11-06 15:14:04.977|eduroam|08:cc:68:b4:6e:7f|-80|0.0
2018-11-06 15:14:04.977|eduroam|00:35:1a:34:17:8f|-80|0.0
2018-11-06 15:14:04.977|Global_Students|08:cc:68:b4:6e:7d|-81|0.0
2018-11-06 15:14:04.977||08:cc:68:b4:6e:7a|-81|0.0
2018-11-06 15:14:04.977|eduroam|08:cc:68:b4:63:c0|-84|0.0
2018-11-06 15:14:04.977|SCD-725002279W_P6|28:c2:dd:71:09:85|-87|0.0
2018-11-06 15:14:04.977|Global_Students|08:cc:68:b4:63:c2|-84|0.0
2018-11-06 15:14:04.977|eduroam|d0:72:dc:5c:08:f0|-77|0.0
2018-11-06 15:14:04.977||d0:72:dc:68:8e:f4|-88|0.0
2018-11-06 15:14:04.977|Global_Students|58:97:1e:56:4a:fd|-82|0.0
2018-11-06 15:14:04.977|eduroam|58:97:1e:56:4a:ff|-82|0.0
2018-11-06 15:14:04.977|uniwide|08:cc:68:b4:6e:7e|-82|0.0
2018-11-06 15:14:04.977||1c:e6:c7:5b:93:04|-79|0.0
2018-11-06 15:14:04.977|uniwide|00:35:1a:34:17:81|-79|0.0
2018-11-06 15:14:04.977|AWE|e2:55:7d:b7:b0:10|-88|0.0
2018-11-06 15:14:04.977|uniwide|1c:e6:c7:3e:dd:c6|-83|0.0
2018-11-06 15:14:04.977||1c:e6:c7:3e:dd:c3|-83|0.0
2018-11-06 15:14:04.977||08:cc:68:b5:8c:6a|-84|0.0
2018-11-06 15:14:04.977||58:97:1e:56:4a:fb|-84|0.0
2018-11-06 15:14:04.977|Global_Students|1c:e6:c7:3e:dd:c5|-84|0.0
2018-11-06 15:14:04.977|Global_Students|08:cc:68:b4:9d:0d|-86|0.0
2018-11-06 15:14:04.977|eduroam|1c:e6:c7:3e:dd:c7|-84|0.0
2018-11-06 15:14:04.977|uniwide|08:cc:68:b4:9d:0e|-85|0.0
2018-11-06 15:14:04.977||1c:e6:c7:3e:dd:c2|-85|0.0
2018-11-06 15:14:04.977||54:78:1a:bf:9e:4a|-88|0.0
2018-11-06 15:14:04.977|eduroam|08:cc:68:b4:6e:70|-84|0.0
2018-11-06 15:14:04.977|AWE Guest|e2:55:7d:b7:b0:11|-93|0.0
2018-11-06 15:14:04.977||08:cc:68:b4:6e:74|-82|0.0
2018-11-06 15:14:04.977|eduroam|08:cc:68:b5:8c:6f|-86|0.0
2018-11-06 15:14:04.977||54:78:1a:bf:9e:4b|-87|0.0
2018-11-06 15:14:04.977|uniwide|1c:e6:c7:5b:93:0e|-87|0.0
2018-11-06 15:14:04.977|AndroidAP|32:07:4d:3a:27:18|-84|0.0
2018-11-06 15:14:04.977|uniwide|08:cc:68:b4:ad:8e|-89|0.0
2018-11-06 15:14:04.977|eduroam|54:78:1a:bf:9e:4f|-90|0.0
2018-11-06 15:14:04.977|Global_Students|08:cc:68:b4:ad:8d|-86|0.0
2018-11-06 15:14:04.977|eduroam|1c:e6:c7:3e:dd:c0|-87|0.0
2018-11-06 15:14:04.977|Global_Students|08:cc:68:b4:60:4d|-92|0.0
2018-11-06 15:14:04.977||e2:55:7d:b7:b0:1f|-95|0.0
2018-11-06 15:14:04.977||d0:72:dc:5c:08:f4|-77|0.0
2018-11-06 15:14:04.977|eduroam|1c:e6:c7:5b:93:00|-81|0.0
2018-11-06 15:14:04.977||08:cc:68:b4:9d:0b|-85|0.0
2018-11-06 15:14:04.977|eduroam|08:cc:68:b4:9d:0f|-85|0.0
2018-11-06 15:14:04.977|eduroam|08:cc:68:b4:ad:8f|-87|0.0
2018-11-06 15:14:04.977||08:cc:68:b4:ad:8b|-87|0.0
2018-11-06 15:14:04.977|island-3EB080|90:3a:72:7e:b0:87|-88|0.0
2018-11-06 15:14:04.977||1c:e6:c7:3e:db:3b|-89|0.0
2018-11-06 15:14:04.977|Global_Students|1c:e6:c7:5b:93:02|-85|0.0
2018-11-06 15:14:04.977|Global_Students|08:cc:68:b4:6e:72|-86|0.0
2018-11-06 15:14:04.977|uniwide|08:cc:68:b4:6e:71|-87|0.0
2018-11-06 15:14:04.977|uniwide|08:cc:68:b4:63:c1|-74|0.0
2018-11-06 15:14:04.977|uniwide|d0:72:dc:5c:08:fe|-64|0.0
2018-11-06 15:14:04.977|eduroam|d0:72:dc:5c:08:ff|-65|0.0
2018-11-06 15:14:04.977|Global_Students|d0:72:dc:5c:08:fd|-65|0.0
2018-11-06 15:14:04.977|uniwide|d0:72:dc:68:8e:f1|-69|0.0
2018-11-06 15:14:04.977|Global_Students|d0:72:dc:68:8e:f2|-70|0.0
2018-11-06 15:14:04.977|eduroam|d0:72:dc:68:8e:ff|-76|0.0
2018-11-06 15:14:04.977|uniwide|d0:72:dc:68:8e:fe|-76|0.0
2018-11-06 15:14:04.977|eduroam|d0:72:dc:68:8e:f0|-70|0.0
2018-11-06 15:14:04.977|Global_Students|d0:72:dc:68:8e:fd|-73|0.0
2018-11-06 15:14:04.977||d0:72:dc:68:8e:fb|-74|0.0
