Time Stamp|SSID|BSSID|RSSI
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:e4:75|-66
2018-11-01 15:11:08.304|eduroam|08:cc:68:b4:e4:71|-66
2018-11-01 15:11:08.304||08:cc:68:b4:e4:74|-81
2018-11-01 15:11:08.304||08:cc:68:b4:e4:70|-82
2018-11-01 15:11:08.304|Cisco-IOT|e0:55:3d:10:35:1a|-95
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:e4:7a|-69
2018-11-01 15:11:08.304|eduroam|08:cc:68:b4:e4:7e|-68
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:64:05|-81
2018-11-01 15:11:08.304||08:cc:68:b4:64:04|-82
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:64:0a|-84
2018-11-01 15:11:08.304|eduroam|08:cc:68:b4:64:0e|-85
2018-11-01 15:11:08.304|Noah's NAT|f4:f2:6d:22:9d:00|-81
2018-11-01 15:11:08.304|uniwide|00:2a:10:ff:52:85|-85
2018-11-01 15:11:08.304|SolsticePod|9c:30:5b:63:c3:31|-69
2018-11-01 15:11:08.304||08:cc:68:b4:e4:7f|-69
2018-11-01 15:11:08.304||08:cc:68:b4:e4:7b|-69
2018-11-01 15:11:08.304||08:cc:68:b4:64:00|-80
2018-11-01 15:11:08.304|eduroam|00:2a:10:ff:52:81|-76
2018-11-01 15:11:08.304||08:cc:68:b5:86:85|-82
2018-11-01 15:11:08.304||08:cc:68:b4:64:0f|-86
2018-11-01 15:11:08.304||08:cc:68:b4:64:0b|-88
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:7d:b5|-90
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:e4:75|-65
2018-11-01 15:11:08.304|eduroam|08:cc:68:b4:e4:71|-66
2018-11-01 15:11:08.304|Cisco-IOT|e0:55:3d:10:35:1a|-80
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:e4:7a|-69
2018-11-01 15:11:08.304|eduroam|08:cc:68:b4:e4:7e|-69
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:64:05|-77
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:64:0a|-84
2018-11-01 15:11:08.304|eduroam|08:cc:68:b4:64:0e|-85
2018-11-01 15:11:08.304|Noah's NAT|f4:f2:6d:22:9d:00|-81
2018-11-01 15:11:08.304|uniwide|00:2a:10:ff:52:85|-82
2018-11-01 15:11:08.304|SolsticePod|9c:30:5b:63:c3:31|-63
2018-11-01 15:11:08.304||08:cc:68:b4:e4:7f|-69
2018-11-01 15:11:08.304||08:cc:68:b4:e4:7b|-69
2018-11-01 15:11:08.304|eduroam|00:2a:10:ff:52:81|-82
2018-11-01 15:11:08.304||08:cc:68:b5:86:85|-82
2018-11-01 15:11:08.304||08:cc:68:b4:64:0f|-86
2018-11-01 15:11:08.304||08:cc:68:b4:64:0b|-88
2018-11-01 15:11:08.304|uniwide|08:cc:68:b4:7d:b5|-90
2018-11-01 15:11:08.304|eduroam|08:cc:68:b4:64:01|-80
